time	base_x	base_y	base_z	l_foot_x	l_foot_y	l_foot_z	r_foot_x	r_foot_y	r_foot_z	l_hip_x	l_hip_y	l_hip_z	r_hip_x	r_hip_y	r_hip_z	abs_x	abs_y	abs_z	head_x	head_y	head_z
3142410000.00000	        0.10057	        0.00014	       -0.13317	        0.45039	       -0.02056	       -0.21893	        0.46656	       -0.02091	       -0.36946	        0.46254	        0.31862	       -0.21946	        0.48634	        0.32941	       -0.40163	        0.44034	        0.48064	       -0.29153	        0.43954	        0.72895	       -0.30009
3142410000.00000	        0.10057	        0.00014	       -0.13317	        0.45039	       -0.02056	       -0.21893	        0.46656	       -0.02091	       -0.36946	        0.46254	        0.31862	       -0.21946	        0.48634	        0.32941	       -0.40163	        0.44034	        0.48064	       -0.29153	        0.43954	        0.72895	       -0.30009
3142435000.00000	        0.10061	        0.00012	       -0.13315	        0.45002	       -0.02055	       -0.21891	        0.46659	       -0.02097	       -0.36946	        0.46258	        0.31864	       -0.21947	        0.48648	        0.32945	       -0.40175	        0.44035	        0.48066	       -0.29152	        0.43974	        0.72897	       -0.30016
3142435000.00000	        0.10061	        0.00012	       -0.13315	        0.45002	       -0.02055	       -0.21891	        0.46659	       -0.02097	       -0.36946	        0.46258	        0.31864	       -0.21947	        0.48648	        0.32945	       -0.40175	        0.44035	        0.48066	       -0.29152	        0.43974	        0.72897	       -0.30016
3142435000.00000	        0.10061	        0.00012	       -0.13315	        0.45002	       -0.02055	       -0.21891	        0.46659	       -0.02097	       -0.36946	        0.46258	        0.31864	       -0.21947	        0.48648	        0.32945	       -0.40175	        0.44035	        0.48066	       -0.29152	        0.43974	        0.72897	       -0.30016
3142451000.00000	        0.10064	        0.00011	       -0.13312	        0.44999	       -0.02058	       -0.21891	        0.46668	       -0.02095	       -0.36948	        0.46260	        0.31865	       -0.21947	        0.48633	        0.32957	       -0.40131	        0.44055	        0.48077	       -0.29153	        0.43998	        0.72888	       -0.30015
3142451000.00000	        0.10064	        0.00011	       -0.13312	        0.44999	       -0.02058	       -0.21891	        0.46668	       -0.02095	       -0.36948	        0.46260	        0.31865	       -0.21947	        0.48633	        0.32957	       -0.40131	        0.44055	        0.48077	       -0.29153	        0.43998	        0.72888	       -0.30015
3142476000.00000	        0.10056	        0.00015	       -0.13318	        0.45004	       -0.02050	       -0.21893	        0.46668	       -0.02098	       -0.36953	        0.46261	        0.31868	       -0.21945	        0.48660	        0.32965	       -0.40142	        0.44060	        0.48068	       -0.29148	        0.44001	        0.72897	       -0.30007
3142476000.00000	        0.10056	        0.00015	       -0.13318	        0.45004	       -0.02050	       -0.21893	        0.46668	       -0.02098	       -0.36953	        0.46261	        0.31868	       -0.21945	        0.48660	        0.32965	       -0.40142	        0.44060	        0.48068	       -0.29148	        0.44001	        0.72897	       -0.30007
3142501000.00000	        0.10059	        0.00015	       -0.13314	        0.45003	       -0.02057	       -0.21891	        0.46663	       -0.02094	       -0.36945	        0.46274	        0.31869	       -0.21943	        0.48654	        0.32947	       -0.40163	        0.44072	        0.48063	       -0.29143	        0.44010	        0.72897	       -0.30005
3142501000.00000	        0.10059	        0.00015	       -0.13314	        0.45003	       -0.02057	       -0.21891	        0.46663	       -0.02094	       -0.36945	        0.46274	        0.31869	       -0.21943	        0.48654	        0.32947	       -0.40163	        0.44072	        0.48063	       -0.29143	        0.44010	        0.72897	       -0.30005
3142518000.00000	        0.10061	        0.00013	       -0.13313	        0.44999	       -0.02055	       -0.21891	        0.46659	       -0.02095	       -0.36946	        0.46276	        0.31869	       -0.21942	        0.48653	        0.32947	       -0.40163	        0.44080	        0.48077	       -0.29149	        0.44009	        0.72908	       -0.30002
3142518000.00000	        0.10061	        0.00013	       -0.13313	        0.44999	       -0.02055	       -0.21891	        0.46659	       -0.02095	       -0.36946	        0.46276	        0.31869	       -0.21942	        0.48653	        0.32947	       -0.40163	        0.44080	        0.48077	       -0.29149	        0.44009	        0.72908	       -0.30002
3142551000.00000	        0.10000	        0.00021	       -0.13335	        0.45000	       -0.02058	       -0.21891	        0.46656	       -0.02093	       -0.36944	        0.46274	        0.31870	       -0.21942	        0.48659	        0.32945	       -0.40162	        0.44071	        0.48070	       -0.29147	        0.44026	        0.72900	       -0.30003
3142551000.00000	        0.10000	        0.00021	       -0.13335	        0.45000	       -0.02058	       -0.21891	        0.46656	       -0.02093	       -0.36944	        0.46274	        0.31870	       -0.21942	        0.48659	        0.32945	       -0.40162	        0.44071	        0.48070	       -0.29147	        0.44026	        0.72900	       -0.30003
3142551000.00000	        0.10000	        0.00021	       -0.13335	        0.45000	       -0.02058	       -0.21891	        0.46656	       -0.02093	       -0.36944	        0.46274	        0.31870	       -0.21942	        0.48659	        0.32945	       -0.40162	        0.44071	        0.48070	       -0.29147	        0.44026	        0.72900	       -0.30003
3142568000.00000	        0.10062	        0.00013	       -0.13313	        0.45000	       -0.02057	       -0.21891	        0.46658	       -0.02094	       -0.36947	        0.46273	        0.31865	       -0.21943	        0.48655	        0.32949	       -0.40167	        0.44075	        0.48073	       -0.29145	        0.44025	        0.72907	       -0.29990
3142568000.00000	        0.10062	        0.00013	       -0.13313	        0.45000	       -0.02057	       -0.21891	        0.46658	       -0.02094	       -0.36947	        0.46273	        0.31865	       -0.21943	        0.48655	        0.32949	       -0.40167	        0.44075	        0.48073	       -0.29145	        0.44025	        0.72907	       -0.29990
3142593000.00000	        0.10058	        0.00015	       -0.13316	        0.45004	       -0.02056	       -0.21891	        0.46664	       -0.02088	       -0.36953	        0.46272	        0.31869	       -0.21943	        0.48650	        0.32953	       -0.40131	        0.44068	        0.48082	       -0.29149	        0.44025	        0.72910	       -0.29995
3142593000.00000	        0.10058	        0.00015	       -0.13316	        0.45004	       -0.02056	       -0.21891	        0.46664	       -0.02088	       -0.36953	        0.46272	        0.31869	       -0.21943	        0.48650	        0.32953	       -0.40131	        0.44068	        0.48082	       -0.29149	        0.44025	        0.72910	       -0.29995
3142619000.00000	        0.10000	        0.00016	       -0.13336	        0.44992	       -0.02061	       -0.21890	        0.46665	       -0.02097	       -0.36951	        0.46271	        0.31871	       -0.21945	        0.48648	        0.32957	       -0.40133	        0.44074	        0.48073	       -0.29147	        0.44022	        0.72914	       -0.29992
3142619000.00000	        0.10000	        0.00016	       -0.13336	        0.44992	       -0.02061	       -0.21890	        0.46665	       -0.02097	       -0.36951	        0.46271	        0.31871	       -0.21945	        0.48648	        0.32957	       -0.40133	        0.44074	        0.48073	       -0.29147	        0.44022	        0.72914	       -0.29992
3142643000.00000	        0.10057	        0.00017	       -0.13316	        0.45001	       -0.02070	       -0.21889	        0.46668	       -0.02098	       -0.36949	        0.46266	        0.31871	       -0.21947	        0.48642	        0.32957	       -0.40131	        0.44065	        0.48069	       -0.29151	        0.44031	        0.72891	       -0.29987
3142643000.00000	        0.10057	        0.00017	       -0.13316	        0.45001	       -0.02070	       -0.21889	        0.46668	       -0.02098	       -0.36949	        0.46266	        0.31871	       -0.21947	        0.48642	        0.32957	       -0.40131	        0.44065	        0.48069	       -0.29151	        0.44031	        0.72891	       -0.29987
3142643000.00000	        0.10057	        0.00017	       -0.13316	        0.45001	       -0.02070	       -0.21889	        0.46668	       -0.02098	       -0.36949	        0.46266	        0.31871	       -0.21947	        0.48642	        0.32957	       -0.40131	        0.44065	        0.48069	       -0.29151	        0.44031	        0.72891	       -0.29987
3142667000.00000	        0.10059	        0.00014	       -0.13315	        0.45037	       -0.02062	       -0.21890	        0.46664	       -0.02103	       -0.36945	        0.46274	        0.31866	       -0.21945	        0.48654	        0.32979	       -0.40180	        0.44066	        0.48071	       -0.29149	        0.44013	        0.72911	       -0.29978
3142667000.00000	        0.10059	        0.00014	       -0.13315	        0.45037	       -0.02062	       -0.21890	        0.46664	       -0.02103	       -0.36945	        0.46274	        0.31866	       -0.21945	        0.48654	        0.32979	       -0.40180	        0.44066	        0.48071	       -0.29149	        0.44013	        0.72911	       -0.29978
3142685000.00000	        0.10060	        0.00015	       -0.13314	        0.45002	       -0.02047	       -0.21893	        0.46660	       -0.02096	       -0.36944	        0.46267	        0.31865	       -0.21949	        0.48647	        0.32952	       -0.40144	        0.44064	        0.48068	       -0.29148	        0.43999	        0.72908	       -0.29985
3142685000.00000	        0.10060	        0.00015	       -0.13314	        0.45002	       -0.02047	       -0.21893	        0.46660	       -0.02096	       -0.36944	        0.46267	        0.31865	       -0.21949	        0.48647	        0.32952	       -0.40144	        0.44064	        0.48068	       -0.29148	        0.43999	        0.72908	       -0.29985
3142710000.00000	        0.10060	        0.00018	       -0.13312	        0.45001	       -0.02069	       -0.21890	        0.46658	       -0.02092	       -0.36945	        0.46269	        0.31866	       -0.21949	        0.48636	        0.32956	       -0.40135	        0.44057	        0.48071	       -0.29151	        0.43989	        0.72913	       -0.29968
3142710000.00000	        0.10060	        0.00018	       -0.13312	        0.45001	       -0.02069	       -0.21890	        0.46658	       -0.02092	       -0.36945	        0.46269	        0.31866	       -0.21949	        0.48636	        0.32956	       -0.40135	        0.44057	        0.48071	       -0.29151	        0.43989	        0.72913	       -0.29968
3142726000.00000	        0.10060	        0.00013	       -0.13314	        0.45001	       -0.02055	       -0.21891	        0.46657	       -0.02094	       -0.36945	        0.46251	        0.31868	       -0.21953	        0.48633	        0.32956	       -0.40156	        0.44048	        0.48070	       -0.29151	        0.43978	        0.72910	       -0.29975
3142726000.00000	        0.10060	        0.00013	       -0.13314	        0.45001	       -0.02055	       -0.21891	        0.46657	       -0.02094	       -0.36945	        0.46251	        0.31868	       -0.21953	        0.48633	        0.32956	       -0.40156	        0.44048	        0.48070	       -0.29151	        0.43978	        0.72910	       -0.29975
3142751000.00000	        0.10057	        0.00016	       -0.13316	        0.45008	       -0.02052	       -0.21893	        0.46657	       -0.02094	       -0.36945	        0.46258	        0.31867	       -0.21949	        0.48628	        0.32955	       -0.40158	        0.44048	        0.48056	       -0.29147	        0.43975	        0.72901	       -0.29981
3142751000.00000	        0.10057	        0.00016	       -0.13316	        0.45008	       -0.02052	       -0.21893	        0.46657	       -0.02094	       -0.36945	        0.46258	        0.31867	       -0.21949	        0.48628	        0.32955	       -0.40158	        0.44048	        0.48056	       -0.29147	        0.43975	        0.72901	       -0.29981
3142768000.00000	        0.10059	        0.00016	       -0.13314	        0.45044	       -0.02076	       -0.21888	        0.46664	       -0.02095	       -0.36954	        0.46246	        0.31868	       -0.21950	        0.48634	        0.32951	       -0.40146	        0.44049	        0.48068	       -0.29149	        0.43965	        0.72900	       -0.29979
3142768000.00000	        0.10059	        0.00016	       -0.13314	        0.45044	       -0.02076	       -0.21888	        0.46664	       -0.02095	       -0.36954	        0.46246	        0.31868	       -0.21950	        0.48634	        0.32951	       -0.40146	        0.44049	        0.48068	       -0.29149	        0.43965	        0.72900	       -0.29979
