time	base_x	base_y	base_z	l_foot_x	l_foot_y	l_foot_z	r_foot_x	r_foot_y	r_foot_z	l_hip_x	l_hip_y	l_hip_z	r_hip_x	r_hip_y	r_hip_z	abs_x	abs_y	abs_z	head_x	head_y	head_z
2480503000.00000	        0.03551	        0.00119	       -0.14649	        0.44489	       -0.02395	       -0.21972	        0.44878	       -0.02689	       -0.36743	        0.46673	        0.28572	       -0.22498	        0.48464	        0.29414	       -0.40580	        0.44481	        0.44833	       -0.29497	        0.44863	        0.69625	       -0.29747
2480503000.00000	        0.03551	        0.00119	       -0.14649	        0.44489	       -0.02395	       -0.21972	        0.44878	       -0.02689	       -0.36743	        0.46673	        0.28572	       -0.22498	        0.48464	        0.29414	       -0.40580	        0.44481	        0.44833	       -0.29497	        0.44863	        0.69625	       -0.29747
2480511000.00000	        0.03553	        0.00117	       -0.14647	        0.44492	       -0.02396	       -0.21981	        0.44871	       -0.02697	       -0.36747	        0.46662	        0.28576	       -0.22497	        0.48469	        0.29410	       -0.40580	        0.44486	        0.44839	       -0.29503	        0.44864	        0.69623	       -0.29741
2480546000.00000	        0.03552	        0.00119	       -0.14649	        0.44493	       -0.02402	       -0.21985	        0.44870	       -0.02704	       -0.36748	        0.46657	        0.28576	       -0.22496	        0.48462	        0.29413	       -0.40576	        0.44481	        0.44832	       -0.29495	        0.44863	        0.69620	       -0.29725
2480546000.00000	        0.03552	        0.00119	       -0.14649	        0.44493	       -0.02402	       -0.21985	        0.44870	       -0.02704	       -0.36748	        0.46657	        0.28576	       -0.22496	        0.48462	        0.29413	       -0.40576	        0.44481	        0.44832	       -0.29495	        0.44863	        0.69620	       -0.29725
2480570000.00000	        0.03553	        0.00116	       -0.14648	        0.44618	       -0.02504	       -0.21942	        0.44869	       -0.02711	       -0.36746	        0.46654	        0.28578	       -0.22495	        0.48470	        0.29407	       -0.40576	        0.44483	        0.44827	       -0.29492	        0.44854	        0.69623	       -0.29728
2480570000.00000	        0.03553	        0.00116	       -0.14648	        0.44618	       -0.02504	       -0.21942	        0.44869	       -0.02711	       -0.36746	        0.46654	        0.28578	       -0.22495	        0.48470	        0.29407	       -0.40576	        0.44483	        0.44827	       -0.29492	        0.44854	        0.69623	       -0.29728
2480594000.00000	        0.03555	        0.00114	       -0.14648	        0.44477	       -0.02387	       -0.21987	        0.44869	       -0.02728	       -0.36747	        0.46654	        0.28575	       -0.22495	        0.48495	        0.29399	       -0.40578	        0.44480	        0.44828	       -0.29489	        0.44851	        0.69615	       -0.29724
2480594000.00000	        0.03555	        0.00114	       -0.14648	        0.44477	       -0.02387	       -0.21987	        0.44869	       -0.02728	       -0.36747	        0.46654	        0.28575	       -0.22495	        0.48495	        0.29399	       -0.40578	        0.44480	        0.44828	       -0.29489	        0.44851	        0.69615	       -0.29724
2480611000.00000	        0.03555	        0.00115	       -0.14648	        0.44621	       -0.02484	       -0.21901	        0.44885	       -0.02684	       -0.36746	        0.46652	        0.28575	       -0.22497	        0.48467	        0.29409	       -0.40576	        0.44482	        0.44827	       -0.29491	        0.44853	        0.69616	       -0.29735
2480611000.00000	        0.03555	        0.00115	       -0.14648	        0.44621	       -0.02484	       -0.21901	        0.44885	       -0.02684	       -0.36746	        0.46652	        0.28575	       -0.22497	        0.48467	        0.29409	       -0.40576	        0.44482	        0.44827	       -0.29491	        0.44853	        0.69616	       -0.29735
2480636000.00000	        0.03555	        0.00113	       -0.14649	        0.44603	       -0.02498	       -0.21965	        0.44864	       -0.02713	       -0.36745	        0.46649	        0.28574	       -0.22498	        0.48468	        0.29410	       -0.40576	        0.44479	        0.44830	       -0.29495	        0.44854	        0.69612	       -0.29734
2480636000.00000	        0.03555	        0.00113	       -0.14649	        0.44603	       -0.02498	       -0.21965	        0.44864	       -0.02713	       -0.36745	        0.46649	        0.28574	       -0.22498	        0.48468	        0.29410	       -0.40576	        0.44479	        0.44830	       -0.29495	        0.44854	        0.69612	       -0.29734
2480636000.00000	        0.03555	        0.00113	       -0.14649	        0.44603	       -0.02498	       -0.21965	        0.44864	       -0.02713	       -0.36745	        0.46649	        0.28574	       -0.22498	        0.48468	        0.29410	       -0.40576	        0.44479	        0.44830	       -0.29495	        0.44854	        0.69612	       -0.29734
2480661000.00000	        0.03553	        0.00114	       -0.14651	        0.44616	       -0.02511	       -0.21908	        0.44867	       -0.02693	       -0.36747	        0.46656	        0.28573	       -0.22494	        0.48469	        0.29415	       -0.40573	        0.44483	        0.44825	       -0.29491	        0.44853	        0.69619	       -0.29734
2480669000.00000	        0.03553	        0.00116	       -0.14648	        0.44609	       -0.02504	       -0.21960	        0.44864	       -0.02714	       -0.36750	        0.46658	        0.28572	       -0.22498	        0.48480	        0.29401	       -0.40577	        0.44472	        0.44831	       -0.29493	        0.44854	        0.69618	       -0.29734
2480669000.00000	        0.03553	        0.00116	       -0.14648	        0.44609	       -0.02504	       -0.21960	        0.44864	       -0.02714	       -0.36750	        0.46658	        0.28572	       -0.22498	        0.48480	        0.29401	       -0.40577	        0.44472	        0.44831	       -0.29493	        0.44854	        0.69618	       -0.29734
2480704000.00000	        0.03551	        0.00118	       -0.14649	        0.44611	       -0.02501	       -0.21969	        0.44880	       -0.02690	       -0.36743	        0.46658	        0.28577	       -0.22494	        0.48472	        0.29408	       -0.40577	        0.44485	        0.44824	       -0.29493	        0.44857	        0.69616	       -0.29728
2480704000.00000	        0.03551	        0.00118	       -0.14649	        0.44611	       -0.02501	       -0.21969	        0.44880	       -0.02690	       -0.36743	        0.46658	        0.28577	       -0.22494	        0.48472	        0.29408	       -0.40577	        0.44485	        0.44824	       -0.29493	        0.44857	        0.69616	       -0.29728
2480728000.00000	        0.03553	        0.00116	       -0.14649	        0.44492	       -0.02386	       -0.21980	        0.44868	       -0.02679	       -0.36713	        0.46655	        0.28579	       -0.22495	        0.48465	        0.29415	       -0.40573	        0.44482	        0.44831	       -0.29493	        0.44861	        0.69615	       -0.29724
2480728000.00000	        0.03553	        0.00116	       -0.14649	        0.44492	       -0.02386	       -0.21980	        0.44868	       -0.02679	       -0.36713	        0.46655	        0.28579	       -0.22495	        0.48465	        0.29415	       -0.40573	        0.44482	        0.44831	       -0.29493	        0.44861	        0.69615	       -0.29724
2480728000.00000	        0.03553	        0.00116	       -0.14649	        0.44492	       -0.02386	       -0.21980	        0.44868	       -0.02679	       -0.36713	        0.46655	        0.28579	       -0.22495	        0.48465	        0.29415	       -0.40573	        0.44482	        0.44831	       -0.29493	        0.44861	        0.69615	       -0.29724
2480752000.00000	        0.03552	        0.00118	       -0.14649	        0.44604	       -0.02498	       -0.21963	        0.44863	       -0.02713	       -0.36747	        0.46652	        0.28581	       -0.22497	        0.48485	        0.29404	       -0.40580	        0.44495	        0.44821	       -0.29496	        0.44859	        0.69620	       -0.29722
2480752000.00000	        0.03552	        0.00118	       -0.14649	        0.44604	       -0.02498	       -0.21963	        0.44863	       -0.02713	       -0.36747	        0.46652	        0.28581	       -0.22497	        0.48485	        0.29404	       -0.40580	        0.44495	        0.44821	       -0.29496	        0.44859	        0.69620	       -0.29722
2480770000.00000	        0.03552	        0.00118	       -0.14648	        0.44497	       -0.02396	       -0.21995	        0.44857	       -0.02693	       -0.36743	        0.46671	        0.28573	       -0.22497	        0.48481	        0.29407	       -0.40581	        0.44489	        0.44833	       -0.29499	        0.44862	        0.69612	       -0.29738
2480770000.00000	        0.03552	        0.00118	       -0.14648	        0.44497	       -0.02396	       -0.21995	        0.44857	       -0.02693	       -0.36743	        0.46671	        0.28573	       -0.22497	        0.48481	        0.29407	       -0.40581	        0.44489	        0.44833	       -0.29499	        0.44862	        0.69612	       -0.29738
2480795000.00000	        0.03555	        0.00115	       -0.14646	        0.44603	       -0.02495	       -0.21962	        0.44921	       -0.02695	       -0.36753	        0.46658	        0.28581	       -0.22500	        0.48470	        0.29416	       -0.40579	        0.44490	        0.44835	       -0.29501	        0.44867	        0.69621	       -0.29743
2480795000.00000	        0.03555	        0.00115	       -0.14646	        0.44603	       -0.02495	       -0.21962	        0.44921	       -0.02695	       -0.36753	        0.46658	        0.28581	       -0.22500	        0.48470	        0.29416	       -0.40579	        0.44490	        0.44835	       -0.29501	        0.44867	        0.69621	       -0.29743
2480811000.00000	        0.03554	        0.00116	       -0.14648	        0.44605	       -0.02497	       -0.21970	        0.44877	       -0.02684	       -0.36745	        0.46678	        0.28570	       -0.22500	        0.48478	        0.29407	       -0.40584	        0.44489	        0.44839	       -0.29503	        0.44864	        0.69622	       -0.29750
2480811000.00000	        0.03554	        0.00116	       -0.14648	        0.44605	       -0.02497	       -0.21970	        0.44877	       -0.02684	       -0.36745	        0.46678	        0.28570	       -0.22500	        0.48478	        0.29407	       -0.40584	        0.44489	        0.44839	       -0.29503	        0.44864	        0.69622	       -0.29750
2480836000.00000	        0.03557	        0.00113	       -0.14646	        0.44599	       -0.02492	       -0.21974	        0.44878	       -0.02690	       -0.36743	        0.46678	        0.28569	       -0.22503	        0.48491	        0.29422	       -0.40596	        0.44484	        0.44837	       -0.29505	        0.44874	        0.69614	       -0.29757
2480836000.00000	        0.03557	        0.00113	       -0.14646	        0.44599	       -0.02492	       -0.21974	        0.44878	       -0.02690	       -0.36743	        0.46678	        0.28569	       -0.22503	        0.48491	        0.29422	       -0.40596	        0.44484	        0.44837	       -0.29505	        0.44874	        0.69614	       -0.29757
2480836000.00000	        0.03557	        0.00113	       -0.14646	        0.44599	       -0.02492	       -0.21974	        0.44878	       -0.02690	       -0.36743	        0.46678	        0.28569	       -0.22503	        0.48491	        0.29422	       -0.40596	        0.44484	        0.44837	       -0.29505	        0.44874	        0.69614	       -0.29757
2480861000.00000	        0.03555	        0.00113	       -0.14649	        0.44488	       -0.02389	       -0.21986	        0.44872	       -0.02697	       -0.36751	        0.46677	        0.28571	       -0.22507	        0.48479	        0.29408	       -0.40587	        0.44502	        0.44842	       -0.29515	        0.44877	        0.69615	       -0.29749
2480861000.00000	        0.03555	        0.00113	       -0.14649	        0.44488	       -0.02389	       -0.21986	        0.44872	       -0.02697	       -0.36751	        0.46677	        0.28571	       -0.22507	        0.48479	        0.29408	       -0.40587	        0.44502	        0.44842	       -0.29515	        0.44877	        0.69615	       -0.29749
2480886000.00000	        0.03553	        0.00117	       -0.14649	        0.44604	       -0.02497	       -0.21964	        0.44872	       -0.02692	       -0.36747	        0.46678	        0.28572	       -0.22509	        0.48467	        0.29412	       -0.40586	        0.44495	        0.44835	       -0.29514	        0.44885	        0.69612	       -0.29758
2480886000.00000	        0.03553	        0.00117	       -0.14649	        0.44604	       -0.02497	       -0.21964	        0.44872	       -0.02692	       -0.36747	        0.46678	        0.28572	       -0.22509	        0.48467	        0.29412	       -0.40586	        0.44495	        0.44835	       -0.29514	        0.44885	        0.69612	       -0.29758
2480911000.00000	        0.03554	        0.00116	       -0.14648	        0.44603	       -0.02498	       -0.21972	        0.44878	       -0.02676	       -0.36746	        0.46684	        0.28569	       -0.22510	        0.48476	        0.29412	       -0.40589	        0.44501	        0.44839	       -0.29517	        0.44887	        0.69618	       -0.29766
2480911000.00000	        0.03554	        0.00116	       -0.14648	        0.44603	       -0.02498	       -0.21972	        0.44878	       -0.02676	       -0.36746	        0.46684	        0.28569	       -0.22510	        0.48476	        0.29412	       -0.40589	        0.44501	        0.44839	       -0.29517	        0.44887	        0.69618	       -0.29766
2480919000.00000	        0.03551	        0.00118	       -0.14650	        0.44599	       -0.02491	       -0.21966	        0.44856	       -0.02732	       -0.36744	        0.46686	        0.28568	       -0.22509	        0.48492	        0.29404	       -0.40591	        0.44514	        0.44840	       -0.29519	        0.44890	        0.69619	       -0.29773
2480919000.00000	        0.03551	        0.00118	       -0.14650	        0.44599	       -0.02491	       -0.21966	        0.44856	       -0.02732	       -0.36744	        0.46686	        0.28568	       -0.22509	        0.48492	        0.29404	       -0.40591	        0.44514	        0.44840	       -0.29519	        0.44890	        0.69619	       -0.29773
2480954000.00000	        0.03552	        0.00115	       -0.14650	        0.44495	       -0.02399	       -0.21982	        0.44860	       -0.02713	       -0.36749	        0.46685	        0.28570	       -0.22511	        0.48457	        0.29418	       -0.40588	        0.44503	        0.44838	       -0.29513	        0.44890	        0.69621	       -0.29771
2480954000.00000	        0.03552	        0.00115	       -0.14650	        0.44495	       -0.02399	       -0.21982	        0.44860	       -0.02713	       -0.36749	        0.46685	        0.28570	       -0.22511	        0.48457	        0.29418	       -0.40588	        0.44503	        0.44838	       -0.29513	        0.44890	        0.69621	       -0.29771
2480978000.00000	        0.03551	        0.00118	       -0.14649	        0.44603	       -0.02494	       -0.21972	        0.44872	       -0.02701	       -0.36744	        0.46680	        0.28573	       -0.22511	        0.48494	        0.29404	       -0.40594	        0.44497	        0.44841	       -0.29519	        0.44893	        0.69617	       -0.29768
2480978000.00000	        0.03551	        0.00118	       -0.14649	        0.44603	       -0.02494	       -0.21972	        0.44872	       -0.02701	       -0.36744	        0.46680	        0.28573	       -0.22511	        0.48494	        0.29404	       -0.40594	        0.44497	        0.44841	       -0.29519	        0.44893	        0.69617	       -0.29768
2481002000.00000	        0.03551	        0.00120	       -0.14649	        0.44606	       -0.02500	       -0.21966	        0.44853	       -0.02705	       -0.36748	        0.46684	        0.28572	       -0.22512	        0.48479	        0.29414	       -0.40593	        0.44503	        0.44847	       -0.29514	        0.44914	        0.69610	       -0.29777
2481002000.00000	        0.03551	        0.00120	       -0.14649	        0.44606	       -0.02500	       -0.21966	        0.44853	       -0.02705	       -0.36748	        0.46684	        0.28572	       -0.22512	        0.48479	        0.29414	       -0.40593	        0.44503	        0.44847	       -0.29514	        0.44914	        0.69610	       -0.29777
2481002000.00000	        0.03551	        0.00120	       -0.14649	        0.44606	       -0.02500	       -0.21966	        0.44853	       -0.02705	       -0.36748	        0.46684	        0.28572	       -0.22512	        0.48479	        0.29414	       -0.40593	        0.44503	        0.44847	       -0.29514	        0.44914	        0.69610	       -0.29777
2481020000.00000	        0.03551	        0.00117	       -0.14650	        0.44483	       -0.02387	       -0.21990	        0.44913	       -0.02684	       -0.36746	        0.46678	        0.28578	       -0.22510	        0.48481	        0.29410	       -0.40592	        0.44500	        0.44841	       -0.29517	        0.44900	        0.69613	       -0.29763
2481020000.00000	        0.03551	        0.00117	       -0.14650	        0.44483	       -0.02387	       -0.21990	        0.44913	       -0.02684	       -0.36746	        0.46678	        0.28578	       -0.22510	        0.48481	        0.29410	       -0.40592	        0.44500	        0.44841	       -0.29517	        0.44900	        0.69613	       -0.29763
2481045000.00000	        0.03509	        0.00119	       -0.14662	        0.44602	       -0.02496	       -0.21965	        0.44875	       -0.02699	       -0.36745	        0.46684	        0.28576	       -0.22510	        0.48474	        0.29413	       -0.40590	        0.44499	        0.44832	       -0.29505	        0.44904	        0.69619	       -0.29772
