time	base_x	base_y	base_z	l_foot_x	l_foot_y	l_foot_z	r_foot_x	r_foot_y	r_foot_z	l_hip_x	l_hip_y	l_hip_z	r_hip_x	r_hip_y	r_hip_z	abs_x	abs_y	abs_z	head_x	head_y	head_z
        0.00000	        0.09654	       -0.00078	       -0.13587	        0.41807	       -0.02451	       -0.32862	        0.42506	       -0.02358	       -0.47298	        0.44667	        0.29899	       -0.33610	        0.45789	        0.30829	       -0.52187	        0.42567	        0.46291	       -0.41000	        0.43916	        0.71220	       -0.40930
        0.00000	        0.09654	       -0.00078	       -0.13587	        0.41807	       -0.02451	       -0.32862	        0.42506	       -0.02358	       -0.47298	        0.44667	        0.29899	       -0.33610	        0.45789	        0.30829	       -0.52187	        0.42567	        0.46291	       -0.41000	        0.43916	        0.71220	       -0.40930
   565000.00000	        0.09654	       -0.00078	       -0.13586	        0.41810	       -0.02454	       -0.32861	        0.42511	       -0.02362	       -0.47301	        0.44699	        0.29910	       -0.33624	        0.45849	        0.30826	       -0.52200	        0.42618	        0.46294	       -0.41011	        0.43971	        0.71220	       -0.40911
   582000.00000	        0.09658	       -0.00082	       -0.13584	        0.41810	       -0.02451	       -0.32860	        0.42498	       -0.02361	       -0.47307	        0.44716	        0.29909	       -0.33625	        0.45861	        0.30826	       -0.52235	        0.42647	        0.46293	       -0.41017	        0.43999	        0.71221	       -0.40903
   582000.00000	        0.09658	       -0.00082	       -0.13584	        0.41810	       -0.02451	       -0.32860	        0.42498	       -0.02361	       -0.47307	        0.44716	        0.29909	       -0.33625	        0.45861	        0.30826	       -0.52235	        0.42647	        0.46293	       -0.41017	        0.43999	        0.71221	       -0.40903
   615000.00000	        0.09653	       -0.00076	       -0.13586	        0.41809	       -0.02449	       -0.32860	        0.42495	       -0.02350	       -0.47314	        0.44738	        0.29917	       -0.33622	        0.45895	        0.30825	       -0.52219	        0.42693	        0.46299	       -0.41022	        0.44051	        0.71223	       -0.40883
   615000.00000	        0.09653	       -0.00076	       -0.13586	        0.41809	       -0.02449	       -0.32860	        0.42495	       -0.02350	       -0.47314	        0.44738	        0.29917	       -0.33622	        0.45895	        0.30825	       -0.52219	        0.42693	        0.46299	       -0.41022	        0.44051	        0.71223	       -0.40883
   615000.00000	        0.09653	       -0.00076	       -0.13586	        0.41809	       -0.02449	       -0.32860	        0.42495	       -0.02350	       -0.47314	        0.44738	        0.29917	       -0.33622	        0.45895	        0.30825	       -0.52219	        0.42693	        0.46299	       -0.41022	        0.44051	        0.71223	       -0.40883
   632000.00000	        0.09656	       -0.00081	       -0.13586	        0.41807	       -0.02451	       -0.32860	        0.42494	       -0.02352	       -0.47320	        0.44760	        0.29914	       -0.33633	        0.45932	        0.30827	       -0.52218	        0.42710	        0.46292	       -0.41024	        0.44070	        0.71227	       -0.40879
   632000.00000	        0.09656	       -0.00081	       -0.13586	        0.41807	       -0.02451	       -0.32860	        0.42494	       -0.02352	       -0.47320	        0.44760	        0.29914	       -0.33633	        0.45932	        0.30827	       -0.52218	        0.42710	        0.46292	       -0.41024	        0.44070	        0.71227	       -0.40879
   657000.00000	        0.09655	       -0.00080	       -0.13587	        0.41806	       -0.02454	       -0.32859	        0.42496	       -0.02357	       -0.47330	        0.44759	        0.29921	       -0.33633	        0.45942	        0.30827	       -0.52232	        0.42727	        0.46294	       -0.41024	        0.44106	        0.71232	       -0.40877
   657000.00000	        0.09655	       -0.00080	       -0.13587	        0.41806	       -0.02454	       -0.32859	        0.42496	       -0.02357	       -0.47330	        0.44759	        0.29921	       -0.33633	        0.45942	        0.30827	       -0.52232	        0.42727	        0.46294	       -0.41024	        0.44106	        0.71232	       -0.40877
   682000.00000	        0.09656	       -0.00080	       -0.13586	        0.41803	       -0.02449	       -0.32859	        0.42489	       -0.02344	       -0.47330	        0.44754	        0.29919	       -0.33622	        0.45919	        0.30839	       -0.52232	        0.42720	        0.46296	       -0.41024	        0.44130	        0.71236	       -0.40870
   682000.00000	        0.09656	       -0.00080	       -0.13586	        0.41803	       -0.02449	       -0.32859	        0.42489	       -0.02344	       -0.47330	        0.44754	        0.29919	       -0.33622	        0.45919	        0.30839	       -0.52232	        0.42720	        0.46296	       -0.41024	        0.44130	        0.71236	       -0.40870
   682000.00000	        0.09656	       -0.00080	       -0.13586	        0.41803	       -0.02449	       -0.32859	        0.42489	       -0.02344	       -0.47330	        0.44754	        0.29919	       -0.33622	        0.45919	        0.30839	       -0.52232	        0.42720	        0.46296	       -0.41024	        0.44130	        0.71236	       -0.40870
   699000.00000	        0.09652	       -0.00078	       -0.13588	        0.41805	       -0.02447	       -0.32860	        0.42499	       -0.02351	       -0.47331	        0.44765	        0.29917	       -0.33631	        0.45932	        0.30832	       -0.52227	        0.42729	        0.46291	       -0.41017	        0.44138	        0.71235	       -0.40868
   699000.00000	        0.09652	       -0.00078	       -0.13588	        0.41805	       -0.02447	       -0.32860	        0.42499	       -0.02351	       -0.47331	        0.44765	        0.29917	       -0.33631	        0.45932	        0.30832	       -0.52227	        0.42729	        0.46291	       -0.41017	        0.44138	        0.71235	       -0.40868
   724000.00000	        0.09654	       -0.00081	       -0.13589	        0.41812	       -0.02459	       -0.32861	        0.42489	       -0.02339	       -0.47334	        0.44772	        0.29911	       -0.33626	        0.45935	        0.30827	       -0.52245	        0.42726	        0.46296	       -0.41022	        0.44134	        0.71235	       -0.40870
   749000.00000	        0.09657	       -0.00080	       -0.13585	        0.41811	       -0.02453	       -0.32860	        0.42494	       -0.02348	       -0.47338	        0.44764	        0.29918	       -0.33626	        0.45926	        0.30802	       -0.52221	        0.42720	        0.46294	       -0.41017	        0.44115	        0.71235	       -0.40869
   749000.00000	        0.09657	       -0.00080	       -0.13585	        0.41811	       -0.02453	       -0.32860	        0.42494	       -0.02348	       -0.47338	        0.44764	        0.29918	       -0.33626	        0.45926	        0.30802	       -0.52221	        0.42720	        0.46294	       -0.41017	        0.44115	        0.71235	       -0.40869
   749000.00000	        0.09657	       -0.00080	       -0.13585	        0.41811	       -0.02453	       -0.32860	        0.42494	       -0.02348	       -0.47338	        0.44764	        0.29918	       -0.33626	        0.45926	        0.30802	       -0.52221	        0.42720	        0.46294	       -0.41017	        0.44115	        0.71235	       -0.40869
   765000.00000	        0.09652	       -0.00077	       -0.13588	        0.41811	       -0.02453	       -0.32861	        0.42486	       -0.02343	       -0.47338	        0.44767	        0.29922	       -0.33623	        0.45925	        0.30831	       -0.52237	        0.42720	        0.46287	       -0.41016	        0.44099	        0.71233	       -0.40870
   765000.00000	        0.09652	       -0.00077	       -0.13588	        0.41811	       -0.02453	       -0.32861	        0.42486	       -0.02343	       -0.47338	        0.44767	        0.29922	       -0.33623	        0.45925	        0.30831	       -0.52237	        0.42720	        0.46287	       -0.41016	        0.44099	        0.71233	       -0.40870
   790000.00000	        0.09655	       -0.00079	       -0.13585	        0.41806	       -0.02453	       -0.32860	        0.42487	       -0.02336	       -0.47339	        0.44762	        0.29942	       -0.33622	        0.45933	        0.30830	       -0.52224	        0.42706	        0.46263	       -0.41012	        0.44077	        0.71228	       -0.40873
   790000.00000	        0.09655	       -0.00079	       -0.13585	        0.41806	       -0.02453	       -0.32860	        0.42487	       -0.02336	       -0.47339	        0.44762	        0.29942	       -0.33622	        0.45933	        0.30830	       -0.52224	        0.42706	        0.46263	       -0.41012	        0.44077	        0.71228	       -0.40873
   790000.00000	        0.09655	       -0.00079	       -0.13585	        0.41806	       -0.02453	       -0.32860	        0.42487	       -0.02336	       -0.47339	        0.44762	        0.29942	       -0.33622	        0.45933	        0.30830	       -0.52224	        0.42706	        0.46263	       -0.41012	        0.44077	        0.71228	       -0.40873
   816000.00000	        0.09654	       -0.00079	       -0.13586	        0.41811	       -0.02451	       -0.32859	        0.42491	       -0.02343	       -0.47340	        0.44765	        0.29926	       -0.33623	        0.45922	        0.30833	       -0.52218	        0.42694	        0.46283	       -0.41016	        0.44048	        0.71224	       -0.40870
   840000.00000	        0.09651	       -0.00074	       -0.13587	        0.41808	       -0.02449	       -0.32861	        0.42486	       -0.02338	       -0.47351	        0.44756	        0.29905	       -0.33627	        0.45912	        0.30821	       -0.52244	        0.42678	        0.46288	       -0.41018	        0.44019	        0.71219	       -0.40873
