time	base_x	base_y	base_z	l_foot_x	l_foot_y	l_foot_z	r_foot_x	r_foot_y	r_foot_z	l_hip_x	l_hip_y	l_hip_z	r_hip_x	r_hip_y	r_hip_z	abs_x	abs_y	abs_z	head_x	head_y	head_z
        0.00000	        0.09646	       -0.00075	       -0.13587	        0.42127	       -0.00232	       -0.33792	        0.42730	        0.00368	       -0.47720	        0.42925	        0.31149	       -0.33596	        0.44123	        0.32258	       -0.52018	        0.40105	        0.47533	       -0.40721	        0.40078	        0.72473	       -0.40638
        0.00000	        0.09646	       -0.00075	       -0.13587	        0.42127	       -0.00232	       -0.33792	        0.42730	        0.00368	       -0.47720	        0.42925	        0.31149	       -0.33596	        0.44123	        0.32258	       -0.52018	        0.40105	        0.47533	       -0.40721	        0.40078	        0.72473	       -0.40638
   540000.00000	        0.09646	       -0.00075	       -0.13587	        0.42127	       -0.00232	       -0.33792	        0.42730	        0.00368	       -0.47720	        0.42925	        0.31149	       -0.33596	        0.44123	        0.32258	       -0.52018	        0.40105	        0.47533	       -0.40721	        0.40078	        0.72473	       -0.40638
   558000.00000	        0.09647	       -0.00077	       -0.13587	        0.42122	       -0.00226	       -0.33793	        0.42731	        0.00365	       -0.47722	        0.42932	        0.31148	       -0.33601	        0.44121	        0.32281	       -0.52022	        0.40114	        0.47535	       -0.40721	        0.40098	        0.72477	       -0.40595
   588000.00000	        0.09650	       -0.00079	       -0.13584	        0.42116	       -0.00219	       -0.33796	        0.42727	        0.00370	       -0.47726	        0.42932	        0.31148	       -0.33620	        0.44138	        0.32271	       -0.52053	        0.40120	        0.47535	       -0.40734	        0.40097	        0.72475	       -0.40499
   588000.00000	        0.09650	       -0.00079	       -0.13584	        0.42116	       -0.00219	       -0.33796	        0.42727	        0.00370	       -0.47726	        0.42932	        0.31148	       -0.33620	        0.44138	        0.32271	       -0.52053	        0.40120	        0.47535	       -0.40734	        0.40097	        0.72475	       -0.40499
   588000.00000	        0.09650	       -0.00079	       -0.13584	        0.42116	       -0.00219	       -0.33796	        0.42727	        0.00370	       -0.47726	        0.42932	        0.31148	       -0.33620	        0.44138	        0.32271	       -0.52053	        0.40120	        0.47535	       -0.40734	        0.40097	        0.72475	       -0.40499
   606000.00000	        0.09650	       -0.00078	       -0.13585	        0.42122	       -0.00227	       -0.33798	        0.42734	        0.00366	       -0.47731	        0.42928	        0.31150	       -0.33629	        0.44135	        0.32283	       -0.52057	        0.40123	        0.47534	       -0.40743	        0.40088	        0.72467	       -0.40461
   606000.00000	        0.09650	       -0.00078	       -0.13585	        0.42122	       -0.00227	       -0.33798	        0.42734	        0.00366	       -0.47731	        0.42928	        0.31150	       -0.33629	        0.44135	        0.32283	       -0.52057	        0.40123	        0.47534	       -0.40743	        0.40088	        0.72467	       -0.40461
   635000.00000	        0.09650	       -0.00077	       -0.13584	        0.42121	       -0.00227	       -0.33798	        0.42729	        0.00369	       -0.47726	        0.42933	        0.31153	       -0.33641	        0.44143	        0.32260	       -0.52073	        0.40115	        0.47526	       -0.40752	        0.40050	        0.72461	       -0.40414
   635000.00000	        0.09650	       -0.00077	       -0.13584	        0.42121	       -0.00227	       -0.33798	        0.42729	        0.00369	       -0.47726	        0.42933	        0.31153	       -0.33641	        0.44143	        0.32260	       -0.52073	        0.40115	        0.47526	       -0.40752	        0.40050	        0.72461	       -0.40414
   664000.00000	        0.09650	       -0.00076	       -0.13583	        0.42118	       -0.00222	       -0.33798	        0.42732	        0.00362	       -0.47730	        0.42924	        0.31154	       -0.33658	        0.44125	        0.32257	       -0.52088	        0.40075	        0.47523	       -0.40764	        0.39960	        0.72446	       -0.40362
   664000.00000	        0.09650	       -0.00076	       -0.13583	        0.42118	       -0.00222	       -0.33798	        0.42732	        0.00362	       -0.47730	        0.42924	        0.31154	       -0.33658	        0.44125	        0.32257	       -0.52088	        0.40075	        0.47523	       -0.40764	        0.39960	        0.72446	       -0.40362
   664000.00000	        0.09650	       -0.00076	       -0.13583	        0.42118	       -0.00222	       -0.33798	        0.42732	        0.00362	       -0.47730	        0.42924	        0.31154	       -0.33658	        0.44125	        0.32257	       -0.52088	        0.40075	        0.47523	       -0.40764	        0.39960	        0.72446	       -0.40362
   682000.00000	        0.09649	       -0.00073	       -0.13583	        0.42121	       -0.00226	       -0.33798	        0.42728	        0.00362	       -0.47728	        0.42858	        0.31167	       -0.33674	        0.44086	        0.32259	       -0.52085	        0.40049	        0.47518	       -0.40766	        0.39903	        0.72441	       -0.40350
   682000.00000	        0.09649	       -0.00073	       -0.13583	        0.42121	       -0.00226	       -0.33798	        0.42728	        0.00362	       -0.47728	        0.42858	        0.31167	       -0.33674	        0.44086	        0.32259	       -0.52085	        0.40049	        0.47518	       -0.40766	        0.39903	        0.72441	       -0.40350
   710000.00000	        0.09649	       -0.00077	       -0.13585	        0.42123	       -0.00230	       -0.33796	        0.42731	        0.00350	       -0.47729	        0.42877	        0.31097	       -0.33660	        0.44048	        0.32263	       -0.52096	        0.39989	        0.47510	       -0.40769	        0.39818	        0.72432	       -0.40341
   710000.00000	        0.09649	       -0.00077	       -0.13585	        0.42123	       -0.00230	       -0.33796	        0.42731	        0.00350	       -0.47729	        0.42877	        0.31097	       -0.33660	        0.44048	        0.32263	       -0.52096	        0.39989	        0.47510	       -0.40769	        0.39818	        0.72432	       -0.40341
   737000.00000	        0.09603	       -0.00075	       -0.13598	        0.42121	       -0.00233	       -0.33794	        0.42727	        0.00348	       -0.47726	        0.42821	        0.31087	       -0.33666	        0.43982	        0.32254	       -0.52102	        0.39898	        0.47482	       -0.40774	        0.39678	        0.72411	       -0.40340
