time	abs_y-present_position	abs_y-goal_position	abs_x-present_position	abs_x-goal_position	abs_z-present_position	abs_z-goal_position	bust_y-present_position	bust_y-goal_position	bust_x-present_position	bust_x-goal_position	head_z-present_position	head_z-goal_position	head_y-present_position	head_y-goal_position	l_shoulder_y-present_position	l_shoulder_y-goal_position	l_shoulder_x-present_position	l_shoulder_x-goal_position	l_arm_z-present_position	l_arm_z-goal_position	l_elbow_y-present_position	l_elbow_y-goal_position	r_shoulder_y-present_position	r_shoulder_y-goal_position	r_shoulder_x-present_position	r_shoulder_x-goal_position	r_arm_z-present_position	r_arm_z-goal_position	r_elbow_y-present_position	r_elbow_y-goal_position	l_hip_x-present_position	l_hip_x-goal_position	l_hip_z-present_position	l_hip_z-goal_position	l_hip_y-present_position	l_hip_y-goal_position	l_knee_y-present_position	l_knee_y-goal_position	l_ankle_y-present_position	l_ankle_y-goal_position	r_hip_x-present_position	r_hip_x-goal_position	r_hip_z-present_position	r_hip_z-goal_position	r_hip_y-present_position	r_hip_y-goal_position	r_knee_y-present_position	r_knee_y-goal_position	r_ankle_y-present_position	r_ankle_y-goal_position
1404217429.32000	        0.04000	        0.00000	        1.98000	        2.00000	        0.13000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	       10.04000	       10.00000	       -0.04000	        0.00000	      -20.09000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.34000	       -0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.13000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -0.70000	       -0.50000
1404217429.36000	        0.04000	        0.00000	        1.98000	        2.00000	        0.13000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.38000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.40000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	        0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.42000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.44000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.09000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.46000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	       10.04000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.48000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.99000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.98000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.50000	        0.04000	        0.00000	        2.07000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	       10.04000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.98000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.52000	        0.04000	        0.00000	        1.98000	        2.00000	        0.13000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.54000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.89000	       -2.00000	        4.00000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.56000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.64000	        0.00000	        9.91000	       10.00000	       10.04000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.98000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.59000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.61000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	       10.04000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.63000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.91000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.65000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.89000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.67000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.98000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.69000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.98000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.71000	        0.04000	        0.00000	        2.07000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.98000	       -2.00000	        4.00000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.73000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.98000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.75000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.98000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.77000	       -0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.05000	        0.00000	        9.91000	       10.00000	       10.04000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.98000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.79000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.98000	       -2.00000	        4.00000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.81000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	        0.24000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.07000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.98000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.84000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.98000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.86000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	        0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	       10.04000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.98000	       -2.00000	        4.00000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.88000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.98000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.90000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.98000	       -2.00000	        3.91000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.92000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.07000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.98000	       -2.00000	        4.00000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
1404217429.94000	        0.04000	        0.00000	        1.98000	        2.00000	        0.04000	        0.00000	       -0.04000	        0.00000	       -0.04000	        0.00000	       -0.15000	        0.00000	       -0.34000	        0.00000	        9.91000	       10.00000	        9.96000	       10.00000	       -0.04000	        0.00000	      -20.00000	      -20.00000	        9.99000	       10.00000	      -10.04000	      -10.00000	       -0.04000	        0.00000	      -19.91000	      -20.00000	        8.59000	       10.00000	        2.15000	        2.00000	        4.00000	        4.00000	       -0.22000	        0.00000	       -0.18000	       -0.50000	       -8.57000	      -10.00000	       -1.98000	       -2.00000	        4.00000	        4.00000	        0.04000	        0.00000	       -0.62000	       -0.50000
